36;12572
5;966
21;922
38;832
14;722
7;476
40;452
46;406
71;332
37;298
69;240
19;208
70;206
31;156
17;128
16;124
47;112
84;106
74;102
9;84
10;74
48;54
50;50
78;48
85;44
53;38
51;30
82;26
98;20
18;18
66;18
64;16
13;14
61;12
60;10
68;10
72;10
11;8
67;8
8;6
89;6
39;4
75;4
76;4
80;4
83;4
35;2
4;2
52;2
62;2
73;2
79;2
99;2
